col1,col2,col3,col4,col5,col6,col7,col8,col9,col10;;;
"2365114,2/8/2018 16:38,munakk,10,metoo,9.61731E+17,Thu Feb 08 22:37:00 +0000 2018,Listening to the awesome feminist scholar Cynthia Enloe speaking about the relationship between the #metoo movement? https://t.co/aeoOhchgwA,1/1/2015 0:00,1/1/2015 0:00,1/1/2015 0:00,0,0,""name, görüşü""";;;
2365108,2/8/2018 16:38,irishspy,19215,metoo,9.61731E+17,Thu Feb 08 22:37:27 +0000 2018,#MeToo movement lawmaker investigated for sexual misconduct https://t.co/bTilUvoHOh |Female groping male #CApolitics,1/1/2015 0:00,1/1/2015 0:00,1/1/2015 0:00,0,0,cinsel ;;;
2365107,2/8/2018 16:38,CanadasMajority,1114,metoo,9.61731E+17,Thu Feb 08 22:37:31 +0000 2018,@DianeMariePosts @kwralex @gmbutts #GeraldButts is #JustinTrudeau &amp; #Liberals &lt;CHIEF ADVISOR&gt; in #Canada? https://t.co/nazXlN7y1k,1/1/2015 0:00,1/1/2015 0:00,1/1/2015 0:00,0,0,name
2365106,2/8/2018 16:38,wolfbait117,58,metoo,9.61731E+17,Thu Feb 08 22:37:32 +0000 2018,RT @JustinVerlander: Couldnt be more proud of @KateUpton. I know this difficult decision to tell her story is to empower others in similar?,1/1/2015 0:00,1/1/2015 0:00,1/1/2015 0:00,0,0,name;;;
2365104,2/8/2018 16:38,PPIassociation,2030,metoo,9.61731E+17,Thu Feb 08 22:37:38 +0000 2018,Missed our quarterly HR webinar? Our guru Adriane Burkland Harrison?from Printing Industries of America?brought awe? https://t.co/4kxdhhnxP9,1/1/2015 0:00,1/1/2015 0:00,1/1/2015 0:00,0,0,name;;;
"2365099,2/8/2018 16:37,PaulReneLeyva2,1607,metoo,9.6173E+17,Thu Feb 08 22:36:05 +0000 2018,""RT @OneResister: @funder The military parade for Trump should consist of:";;;
"? #MeToo batt?"",1/1/2015 0:00,1/1/2015 0:00,1/1/2015 0:00,0,0,cinsel ";;;
2365093,2/8/2018 16:37,Paco20161973,61,metoo,9.6173E+17,Thu Feb 08 22:36:19 +0000 2018,RT @RepBarragan: Shame on John Kelly for overlooking these terrible domestic abuse allegations against a White House official. #TimesUp for?,1/1/2015 0:00,1/1/2015 0:00,1/1/2015 0:00,0,0,name;;;
2365088,2/8/2018 16:37,MrsCruz1999,255,metoo,9.6173E+17,Thu Feb 08 22:32:57 +0000 2018,C. MacKinnon in the NYT on why #MeToo is doing what legal reforms couldnt wrote typically took 3-4 women testifyin? https://t.co/x0FA25zb2b,1/1/2015 0:00,1/1/2015 0:00,1/1/2015 0:00,0,0,name;;;
2365083,2/8/2018 16:37,Racoon2013,380,metoo,9.6173E+17,Thu Feb 08 22:33:10 +0000 2018,Approved sexual assualt by metoo. You idiots!,1/1/2015 0:00,1/1/2015 0:00,1/1/2015 0:00,0,0,cinsel ;;;
2365072,2/8/2018 16:37,AlmBardy,237,metoo,9.6173E+17,Thu Feb 08 22:33:56 +0000 2018,RT @GretchenCarlson: Amazing that #RobPorter domestic abuse allegations come to light and the White House apparently tried to cover it up.?,1/1/2015 0:00,1/1/2015 0:00,1/1/2015 0:00,0,0,cinsel ;;;
"2365063,2/8/2018 16:37,sadteendreamss,254,metoo,9.6173E+17,Thu Feb 08 22:34:27 +0000 2018,""RT @ajplus: Salma Hayek told @Oprah she felt ashamed for not sharing her #MeToo story with the first wave of Hollywood women. ";;;
"2365062,2/8/2018 16:37,CindynEncinitas,290,metoo,9.6173E+17,Thu Feb 08 22:34:31 +0000 2018,""RT @activist360: Charles in Charge cast member Alexander Polinsky backs Nicole Eggert claims against Trump-loving, child sexual assaulter?"",1/1/2015 0:00,1/1/2015 0:00,1/1/2015 0:00,0,0,""cinsel ,name""";;;
2365055,2/8/2018 16:36,kelzlison,358,metoo,9.6173E+17,Thu Feb 08 22:35:02 +0000 2018,While fighting for gender equality I don?t want to lose my rights as a man I still want to be able to complement wo? https://t.co/6kvyV3ZGJx,1/1/2015 0:00,1/1/2015 0:00,1/1/2015 0:00,0,0,görüş;;;
"2365050,2/8/2018 16:36,OsgoodeNews,6497,metoo,9.6173E+17,Thu Feb 08 22:35:19 +0000 2018,""RT @YorkUnews: Its a natural human response to want to set the record straight"""" says @OsgoodeNews Prof Trevor Farrow about TVO host @spai?"""""",1/1/2015 0:00,1/1/2015 0:00,1/1/2015 0:00,0,0,name";;;
2365037,2/8/2018 16:29,Iyoku07,98,metoo,9.61728E+17,Thu Feb 08 22:27:52 +0000 2018,RT @Grummz: Nolan Bushnell had his GDC award rescinded because of fakenews spread by The Verge and Brianna Wu.  Women of Atari rallied to c?,1/1/2015 0:00,1/1/2015 0:00,1/1/2015 0:00,0,0,name;;;
"2365033,2/8/2018 16:29,lisavoc,1719,metoo,9.61728E+17,Thu Feb 08 22:28:04 +0000 2018,""es w?re auch eher bizarr, als zeichen der #metoo bewegung in schwarz mit richard lugner auf den #opernball zu gehen"",1/1/2015 0:00,1/1/2015 0:00,1/1/2015 0:00,0,0,name";;;
